feature_name,feature_type,correlation_with_target
eval_number_E_1676,bool,
eval_number_E_1677,bool,
eval_number_E_1678,bool,
eval_number_E_1680,bool,
eval_number_E_1681,bool,
eval_number_E_1682,bool,
eval_number_E_1683,bool,
eval_number_E_1684,bool,
eval_number_E_1687,bool,
eval_number_E_1689,bool,
eval_number_E_169,bool,
eval_number_E_1691,bool,
eval_number_E_1692,bool,
eval_number_E_1693,bool,
eval_number_E_1694,bool,
eval_number_E_1696,bool,
eval_number_E_1697,bool,
eval_number_E_1698,bool,
eval_number_E_170,bool,
eval_number_E_1700,bool,
eval_number_E_1701,bool,
eval_number_E_1702,bool,
eval_number_E_1703,bool,
eval_number_E_1704,bool,
eval_number_E_1706,bool,
eval_number_E_1707,bool,
eval_number_E_1708,bool,
eval_number_E_1709,bool,
eval_number_E_171,bool,
eval_number_E_1710,bool,
eval_number_E_1712,bool,
eval_number_E_1714,bool,
eval_number_E_1716,bool,
eval_number_E_1718,bool,
eval_number_E_1719,bool,
eval_number_E_1720,bool,
eval_number_E_1721,bool,
eval_number_E_1722,bool,
eval_number_E_1724,bool,
eval_number_E_1725,bool,
eval_number_E_1727,bool,
eval_number_E_1728,bool,
eval_number_E_1729,bool,
eval_number_E_1731,bool,
eval_number_E_1732,bool,
eval_number_E_1733,bool,
eval_number_E_1734,bool,
eval_number_E_1735,bool,
eval_number_E_1736,bool,
eval_number_E_1737,bool,
eval_number_E_1739,bool,
eval_number_E_174,bool,
eval_number_E_1740,bool,
eval_number_E_1744,bool,
eval_number_E_1745,bool,
eval_number_E_1746,bool,
eval_number_E_1747,bool,
eval_number_E_1749,bool,
eval_number_E_175,bool,
eval_number_E_1751,bool,
eval_number_E_1752,bool,
eval_number_E_1753,bool,
eval_number_E_1754,bool,
eval_number_E_1755,bool,
eval_number_E_1756,bool,
eval_number_E_1757,bool,
eval_number_E_1758,bool,
eval_number_E_176,bool,
eval_number_E_1760,bool,
eval_number_E_1761,bool,
eval_number_E_1762,bool,
eval_number_E_1763,bool,
eval_number_E_1764,bool,
eval_number_E_1766,bool,
eval_number_E_1767,bool,
eval_number_E_1768,bool,
eval_number_E_177,bool,
eval_number_E_1770,bool,
eval_number_E_1771,bool,
eval_number_E_1772,bool,
eval_number_E_1774,bool,
eval_number_E_1775,bool,
eval_number_E_1778,bool,
eval_number_E_1779,bool,
eval_number_E_178,bool,
eval_number_E_1780,bool,
eval_number_E_1782,bool,
eval_number_E_1783,bool,
eval_number_E_1784,bool,
eval_number_E_1786,bool,
eval_number_E_1787,bool,
eval_number_E_1789,bool,
eval_number_E_179,bool,
eval_number_E_1790,bool,
eval_number_E_1792,bool,
eval_number_E_1794,bool,
eval_number_E_1797,bool,
eval_number_E_1798,bool,
eval_number_E_1799,bool,
eval_number_E_18,bool,
eval_number_E_1800,bool,
eval_number_E_1801,bool,
eval_number_E_1802,bool,
eval_number_E_1803,bool,
eval_number_E_1804,bool,
eval_number_E_1805,bool,
eval_number_E_1807,bool,
eval_number_E_1809,bool,
eval_number_E_1812,bool,
eval_number_E_1813,bool,
eval_number_E_1814,bool,
eval_number_E_1815,bool,
eval_number_E_1816,bool,
eval_number_E_1818,bool,
eval_number_E_182,bool,
eval_number_E_1821,bool,
eval_number_E_1822,bool,
eval_number_E_1823,bool,
eval_number_E_1824,bool,
eval_number_E_1826,bool,
eval_number_E_1827,bool,
eval_number_E_1829,bool,
eval_number_E_183,bool,
eval_number_E_1830,bool,
eval_number_E_1833,bool,
eval_number_E_1834,bool,
eval_number_E_1835,bool,
eval_number_E_1836,bool,
eval_number_E_1837,bool,
eval_number_E_1839,bool,
eval_number_E_184,bool,
eval_number_E_1842,bool,
eval_number_E_1844,bool,
eval_number_E_1845,bool,
eval_number_E_1847,bool,
eval_number_E_1849,bool,
eval_number_E_1850,bool,
eval_number_E_1852,bool,
eval_number_E_1853,bool,
eval_number_E_1854,bool,
eval_number_E_1856,bool,
eval_number_E_1857,bool,
eval_number_E_1858,bool,
eval_number_E_1859,bool,
eval_number_E_1860,bool,
eval_number_E_1862,bool,
eval_number_E_1863,bool,
eval_number_E_1864,bool,
eval_number_E_1865,bool,
eval_number_E_1866,bool,
eval_number_E_1867,bool,
